MATERIAL,SPEC_NO,TYPE/GRADE,UNS_NO,CLASS/CONDITION/TEMPER,MIN_THK,MAX_THK,P-NO,NOTES,MIN_TEMP,TENSILE,YIELD,S,"1/2""","3/4""","1""","1-1/2""","2""","3""","4""","6""","8""","10""","12""","14""","16""","18""","20""","24"""
A537 CL 1,A671,CD70,K12437,-,-,2.5,1.0,67,D,70.0,50.0,23.3,2.5063,2.7393,3.0283,3.671,4.1887,5.4224,6.5181,8.8475,11.0389,13.364,15.5553,16.9271,19.1185,21.3012,23.5012,27.9012
A299 Gr. A,A671,CK75,K02803,-,1.0,-,1.0,"57, 67",A,75.0,40.0,24.4,2.4683,2.6916,2.9687,3.5849,4.0811,5.2638,6.3142,8.5473,10.648,12.877,14.9777,16.2928,18.3935,20.486,22.595,26.8131
A299 Gr. A,A671,CK75,K02803,-,-,1.0,1.0,"57, 67",A,75.0,42.0,25.0,2.4489,2.6673,2.9382,3.5408,4.0261,5.1827,6.2099,8.3938,10.4482,12.6279,14.6824,15.9684,18.0228,20.0691,22.1316,26.2566
A285 Gr. A,A672,A45,K01700,-,-,-,1.0,"57, 59, 67",B,45.0,24.0,14.7,2.9739,3.3254,3.7615,4.7313,5.5124,7.3739,9.0271,12.5419,15.8484,19.3567,22.6632,24.7331,28.0396,31.3331,34.6526,41.2916
A285 Gr. B,A672,A50,K02200,-,-,-,1.0,"57, 59, 67",B,50.0,27.0,16.5,2.8404,3.1581,3.5522,4.4287,5.1346,6.8169,8.311,11.4875,14.4757,17.6463,20.6346,22.5051,25.4934,28.4699,31.4699,37.4699
A285 Gr. C,A672,A55,K02801,-,-,-,1.0,67,A,55.0,30.0,18.3,2.7304,3.0202,3.3797,4.1792,4.8231,6.3577,7.7207,10.6182,13.3441,16.2363,18.9621,20.6685,23.3943,26.1095,28.846,34.3192
A515 Gr. 60,A672,B60,K02401,-,-,-,1.0,"57, 67",B,60.0,32.0,19.5,2.6672,2.941,3.2806,4.0359,4.6442,6.094,7.3815,10.1188,12.694,15.4262,18.0013,19.6133,22.1884,24.7534,27.3387,32.5092
A515 Gr. 65 ,A672,B65,K02800,-,-,-,1.0,"57, 67",A,65.0,35.0,21.4,2.5803,2.832,3.1443,3.8388,4.3981,5.7311,6.915,9.432,11.7998,14.3121,16.6799,18.1621,20.5299,22.8883,25.2655,30.0197
A515 Gr. 70 ,A672,B70,K03101,-,-,-,1.0,"57, 67",A,70.0,38.0,23.2,2.5099,2.7438,3.034,3.6792,4.1989,5.4375,6.5375,8.8761,11.0761,13.4103,15.6103,16.9875,19.1875,21.3788,23.5875,28.0048
A516 Gr. 55,A672,C55,K01800,-,-,-,1.0,"57, 67",C,55.0,30.0,18.3,2.7304,3.0202,3.3797,4.1792,4.8231,6.3577,7.7207,10.6182,13.3441,16.2363,18.9621,20.6685,23.3943,26.1095,28.846,34.3192
A516 Gr. 60,A672,C60,K02100,-,-,-,1.0,"57, 67",C,60.0,32.0,19.5,2.6672,2.941,3.2806,4.0359,4.6442,6.094,7.3815,10.1188,12.694,15.4262,18.0013,19.6133,22.1884,24.7534,27.3387,32.5092
A516 Gr. 65 ,A672,C65,K02403,-,-,-,1.0,"57, 67",B,65.0,35.0,21.4,2.5803,2.832,3.1443,3.8388,4.3981,5.7311,6.915,9.432,11.7998,14.3121,16.6799,18.1621,20.5299,22.8883,25.2655,30.0197
A516 Gr. 70 ,A672,C70,K02700,-,-,-,1.0,"57, 67",B,70.0,38.0,23.2,2.5099,2.7438,3.034,3.6792,4.1989,5.4375,6.5375,8.8761,11.0761,13.4103,15.6103,16.9875,19.1875,21.3788,23.5875,28.0048
A537 CL 1,A672,D70,K12437,-,-,2.5,1.0,67,D,70.0,50.0,23.3,2.5063,2.7393,3.0283,3.671,4.1887,5.4224,6.5181,8.8475,11.0389,13.364,15.5553,16.9271,19.1185,21.3012,23.5012,27.9012
A299 Gr. A,A672,N75,K02803,-,1.0,-,1.0,"57, 67",A,75.0,40.0,24.4,2.4683,2.6916,2.9687,3.5849,4.0811,5.2638,6.3142,8.5473,10.648,12.877,14.9777,16.2928,18.3935,20.486,22.595,26.8131
A299 Gr. A,A672,N75,K02803,-,-,1.0,1.0,"57, 67",A,75.0,42.0,25.0,2.4489,2.6673,2.9382,3.5408,4.0261,5.1827,6.2099,8.3938,10.4482,12.6279,14.6824,15.9684,18.0228,20.0691,22.1316,26.2566
A299 Gr. A,A691,CMS-75,K02803,-,1.0,-,1.0,"57, 67",A,75.0,40.0,24.4,2.4683,2.6916,2.9687,3.5849,4.0811,5.2638,6.3142,8.5473,10.648,12.877,14.9777,16.2928,18.3935,20.486,22.595,26.8131
A299 Gr. A,A691,CMS-75,K02803,-,-,1.0,1.0,"57, 67",A,75.0,42.0,25.0,2.4489,2.6673,2.9382,3.5408,4.0261,5.1827,6.2099,8.3938,10.4482,12.6279,14.6824,15.9684,18.0228,20.0691,22.1316,26.2566
A537 CL 1,A691,CMSH-70,K12437,-,-,2.5,1.0,67,D,70.0,50.0,23.3,2.5063,2.7393,3.0283,3.671,4.1887,5.4224,6.5181,8.8475,11.0389,13.364,15.5553,16.9271,19.1185,21.3012,23.5012,27.9012
-,API 5L,A,-,-,-,-,1.0,"57, 59",B,48.0,30.0,16.0,2.8749,3.2012,3.6062,4.5067,5.232,6.9606,8.4957,11.7595,14.8298,18.0875,21.1578,23.0798,26.1501,29.2084,32.2908,38.4556
BUT WELD,API 5L,A25,-,-,-,-,1.0,"8a, 77",-20,45.0,25.0,15.0,2.9497,3.2951,3.7235,4.6765,5.4439,7.273,8.8974,12.3509,15.5997,19.0468,22.2956,24.3294,27.5782,30.8142,34.0759,40.5991
SMLS & ERW,API 5L,A25,-,-,-,-,1.0,"57, 59, 77",B,45.0,25.0,15.0,2.9497,3.2951,3.7235,4.6765,5.4439,7.273,8.8974,12.3509,15.5997,19.0468,22.2956,24.3294,27.5782,30.8142,34.0759,40.5991
-,API 5L,B,-,-,-,-,1.0,"57, 59, 77",B,60.0,35.0,20.0,2.6429,2.9105,3.2425,3.9807,4.5753,5.9925,7.251,9.9267,12.4438,15.1145,17.6316,19.2073,21.7244,24.2316,26.7587,31.8127
-,API 5L,X42,-,-,-,-,1.0,"55, 77",A,60.0,42.0,20.0,2.6429,2.9105,3.2425,3.9807,4.5753,5.9925,7.251,9.9267,12.4438,15.1145,17.6316,19.2073,21.7244,24.2316,26.7587,31.8127
-,API 5L,X46,-,-,-,-,1.0,"55, 77",A,63.0,46.0,21.0,2.5974,2.8534,3.1711,3.8776,4.4466,5.8026,7.0069,9.5672,11.9759,14.5315,16.9401,18.4478,20.8565,23.2556,25.6737,30.5099
-,API 5L,X52,-,-,-,-,1.0,"55, 77",A,66.0,52.0,22.0,2.5557,2.8011,3.1057,3.783,4.3284,5.6284,6.783,9.2375,11.5466,13.9966,16.3057,17.7511,20.0602,22.3602,24.6784,29.3148
-,API 5L,X56,-,-,-,-,1.0,"51, 55, 71, 77",A,71.0,56.0,23.7,2.4921,2.7215,3.006,3.6389,4.1485,5.3632,6.4419,8.7354,10.8929,13.1821,15.3396,16.6902,18.8477,20.9968,23.1628,27.4948
-,API 5L,X60,-,-,-,-,1.0,"51, 55, 71, 77",A,75.0,60.0,25.0,2.4489,2.6673,2.9382,3.5408,4.0261,5.1827,6.2099,8.3938,10.4482,12.6279,14.6824,15.9684,18.0228,20.0691,22.1316,26.2566
-,API 5L,X65,-,-,-,-,1.0,"57, 67",A,77.0,65.0,25.7,2.4273,2.6402,2.9043,3.4918,3.9649,5.0925,6.094,8.223,10.2259,12.3509,14.3538,15.6076,17.6104,19.6054,21.6162,25.6377
-,API 5L,X70,-,-,-,-,1.0,"57, 67",A,82.0,70.0,27.3,2.3817,2.5831,2.8329,3.3885,3.836,4.9024,5.8495,7.8631,9.7573,11.7672,13.6614,14.8472,16.7414,18.6282,20.5299,24.3333
-,API 5L,X80,-,-,-,-,1.0,"57, 67",A,90.0,80.0,30.0,2.3151,2.4996,2.7285,3.2375,3.6474,4.6245,5.4922,7.3369,9.0723,10.9136,12.649,13.7353,15.4707,17.1993,18.9415,22.426
