MATERIAL,SPEC_NO,TYPE/GRADE,UNS_NO,CLASS/CONDITION/TEMPER,MIN_THK,MAX_THK,P-NO,NOTES,MIN_TEMP,TENSILE,YIELD,S,"1/2""","3/4""","1""","1-1/2""","2""","3""","4""","6""","8""","10""","12""","14""","16""","18""","20""","24"""
A515 Gr. 60,A671,CB60,K02401,-,-,-,1.0,"57, 67",B,60.0,32.0,19.5,1.0797,1.3535,1.6931,2.4484,3.0567,4.5065,5.794,8.5313,11.1065,13.8387,16.4138,18.0258,20.6009,23.1659,25.7512,30.9217
A515 Gr. 65 ,A671,CB65,K02800,-,-,-,1.0,"57, 67",A,65.0,35.0,21.4,0.9928,1.2445,1.5568,2.2513,2.8106,4.1436,5.3275,7.8445,10.2123,12.7246,15.0924,16.5746,18.9424,21.3008,23.678,28.4322
A515 Gr. 70 ,A671,CB70,K03101,-,-,-,1.0,"57, 67",A,70.0,38.0,23.2,0.9224,1.1563,1.4465,2.0917,2.6114,3.85,4.95,7.2886,9.4886,11.8228,14.0228,15.4,17.6,19.7913,22.0,26.4173
A516 Gr. 60,A671,CC60,K02100,-,-,-,1.0,"57, 67",C,60.0,32.0,19.5,1.0797,1.3535,1.6931,2.4484,3.0567,4.5065,5.794,8.5313,11.1065,13.8387,16.4138,18.0258,20.6009,23.1659,25.7512,30.9217
A516 Gr. 65 ,A671,CC65,K02403,-,-,-,1.0,"57, 67",B,65.0,35.0,21.4,0.9928,1.2445,1.5568,2.2513,2.8106,4.1436,5.3275,7.8445,10.2123,12.7246,15.0924,16.5746,18.9424,21.3008,23.678,28.4322
A516 Gr. 70 ,A671,CC70,K02700,-,-,-,1.0,"57, 67",B,70.0,38.0,23.2,0.9224,1.1563,1.4465,2.0917,2.6114,3.85,4.95,7.2886,9.4886,11.8228,14.0228,15.4,17.6,19.7913,22.0,26.4173
A537 CL 1,A671,CD70,K12437,-,-,2.5,1.0,67,D,70.0,50.0,23.3,0.9188,1.1518,1.4408,2.0835,2.6012,3.8349,4.9306,7.26,9.4514,11.7765,13.9678,15.3396,17.531,19.7137,21.9137,26.3137
A299 Gr. A,A671,CK75,K02803,-,1.0,-,1.0,"57, 67",A,75.0,40.0,24.4,0.8808,1.1041,1.3812,1.9974,2.4936,3.6763,4.7267,6.9598,9.0605,11.2895,13.3902,14.7053,16.806,18.8985,21.0075,25.2256
A299 Gr. A,A671,CK75,K02803,-,-,1.0,1.0,"57, 67",A,75.0,42.0,25.0,0.8614,1.0798,1.3507,1.9533,2.4386,3.5952,4.6224,6.8063,8.8607,11.0404,13.0949,14.3809,16.4353,18.4816,20.5441,24.6691
A285 Gr. A,A672,A45,K01700,-,-,-,1.0,"57, 59, 67",B,45.0,24.0,14.7,1.3864,1.7379,2.174,3.1438,3.9249,5.7864,7.4396,10.9544,14.2609,17.7692,21.0757,23.1456,26.4521,29.7456,33.0651,39.7041
A285 Gr. B,A672,A50,K02200,-,-,-,1.0,"57, 59, 67",B,50.0,27.0,16.5,1.2529,1.5706,1.9647,2.8412,3.5471,5.2294,6.7235,9.9,12.8882,16.0588,19.0471,20.9176,23.9059,26.8824,29.8824,35.8824
A285 Gr. C,A672,A55,K02801,-,-,-,1.0,67,A,55.0,30.0,18.3,1.1429,1.4327,1.7922,2.5917,3.2356,4.7702,6.1332,9.0307,11.7566,14.6488,17.3746,19.081,21.8068,24.522,27.2585,32.7317
A515 Gr. 60,A672,B60,K02401,-,-,-,1.0,"57, 67",B,60.0,32.0,19.5,1.0797,1.3535,1.6931,2.4484,3.0567,4.5065,5.794,8.5313,11.1065,13.8387,16.4138,18.0258,20.6009,23.1659,25.7512,30.9217
A515 Gr. 65 ,A672,B65,K02800,-,-,-,1.0,"57, 67",A,65.0,35.0,21.4,0.9928,1.2445,1.5568,2.2513,2.8106,4.1436,5.3275,7.8445,10.2123,12.7246,15.0924,16.5746,18.9424,21.3008,23.678,28.4322
A515 Gr. 70 ,A672,B70,K03101,-,-,-,1.0,"57, 67",A,70.0,38.0,23.2,0.9224,1.1563,1.4465,2.0917,2.6114,3.85,4.95,7.2886,9.4886,11.8228,14.0228,15.4,17.6,19.7913,22.0,26.4173
A516 Gr. 55,A672,C55,K01800,-,-,-,1.0,"57, 67",C,55.0,30.0,18.3,1.1429,1.4327,1.7922,2.5917,3.2356,4.7702,6.1332,9.0307,11.7566,14.6488,17.3746,19.081,21.8068,24.522,27.2585,32.7317
A516 Gr. 60,A672,C60,K02100,-,-,-,1.0,"57, 67",C,60.0,32.0,19.5,1.0797,1.3535,1.6931,2.4484,3.0567,4.5065,5.794,8.5313,11.1065,13.8387,16.4138,18.0258,20.6009,23.1659,25.7512,30.9217
A516 Gr. 65 ,A672,C65,K02403,-,-,-,1.0,"57, 67",B,65.0,35.0,21.4,0.9928,1.2445,1.5568,2.2513,2.8106,4.1436,5.3275,7.8445,10.2123,12.7246,15.0924,16.5746,18.9424,21.3008,23.678,28.4322
A516 Gr. 70 ,A672,C70,K02700,-,-,-,1.0,"57, 67",B,70.0,38.0,23.2,0.9224,1.1563,1.4465,2.0917,2.6114,3.85,4.95,7.2886,9.4886,11.8228,14.0228,15.4,17.6,19.7913,22.0,26.4173
A537 CL 1,A672,D70,K12437,-,-,2.5,1.0,67,D,70.0,50.0,23.3,0.9188,1.1518,1.4408,2.0835,2.6012,3.8349,4.9306,7.26,9.4514,11.7765,13.9678,15.3396,17.531,19.7137,21.9137,26.3137
A299 Gr. A,A672,N75,K02803,-,1.0,-,1.0,"57, 67",A,75.0,40.0,24.4,0.8808,1.1041,1.3812,1.9974,2.4936,3.6763,4.7267,6.9598,9.0605,11.2895,13.3902,14.7053,16.806,18.8985,21.0075,25.2256
A299 Gr. A,A672,N75,K02803,-,-,1.0,1.0,"57, 67",A,75.0,42.0,25.0,0.8614,1.0798,1.3507,1.9533,2.4386,3.5952,4.6224,6.8063,8.8607,11.0404,13.0949,14.3809,16.4353,18.4816,20.5441,24.6691
A299 Gr. A,A691,CMS-75,K02803,-,1.0,-,1.0,"57, 67",A,75.0,40.0,24.4,0.8808,1.1041,1.3812,1.9974,2.4936,3.6763,4.7267,6.9598,9.0605,11.2895,13.3902,14.7053,16.806,18.8985,21.0075,25.2256
A299 Gr. A,A691,CMS-75,K02803,-,-,1.0,1.0,"57, 67",A,75.0,42.0,25.0,0.8614,1.0798,1.3507,1.9533,2.4386,3.5952,4.6224,6.8063,8.8607,11.0404,13.0949,14.3809,16.4353,18.4816,20.5441,24.6691
A537 CL 1,A691,CMSH-70,K12437,-,-,2.5,1.0,67,D,70.0,50.0,23.3,0.9188,1.1518,1.4408,2.0835,2.6012,3.8349,4.9306,7.26,9.4514,11.7765,13.9678,15.3396,17.531,19.7137,21.9137,26.3137
-,API 5L,A,-,-,-,-,1.0,"57, 59",B,48.0,30.0,16.0,1.2874,1.6137,2.0187,2.9192,3.6445,5.3731,6.9082,10.172,13.2423,16.5,19.5703,21.4923,24.5626,27.6209,30.7033,36.8681
